country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Guinea-Bissau,645,465,205,376,368,530,1310,752,778,1360,1160,1250,1060,1560,1650,1610,1680,1450,846,1160,1270,,1570,1650,1840,1770,2140,
Equatorial Guinea,,,,,181,17,1,11,20,157,260,331,262,309,356,306,319,366,416,,,,,,536,,,
Greece,5410,7330,5190,3880,1960,1560,1570,1190,907,1070,877,762,920,,,939,945,767,1150,936,703,503,570,571,668,626,580,593
Grenada,17,1,1,6,4,2,1,2,0,4,0,1,3,0,3,4,0,2,2,5,0,,1,2,2,,1,3
Guatemala,5620,6640,7280,6010,6590,6570,4810,5700,5740,4900,3810,2630,2520,2470,2510,3120,3230,2950,2760,2820,2910,2420,2910,2640,3310,3370,3630,3140
Guam,55,41,49,48,54,37,49,34,41,75,,,60,70,94,,,,,,54,63,51,22,50,63,44,53
Guyana,124,117,135,149,165,215,190,117,150,120,168,134,182,91,266,296,314,407,318,407,422,422,590,631,603,639,710,594
Honduras,1670,1700,1710,1940,2120,3380,4210,4230,3960,4030,3650,4560,4160,3750,4290,4980,4180,4030,4920,4570,6410,5050,4490,3860,3590,3330,3200,2770
Croatia,4000,4020,3720,3630,3610,3610,3360,3330,2970,2860,2580,2160,2190,2280,2220,2110,2170,2050,2120,1770,1630,1380,1440,1360,1170,1050,1030,951
Haiti,8310,6550,3340,6840,5800,4960,8580,8510,8050,8100,,10.2k,,,,6210,6630,10.1k,9770,9120,10.4k,10.2k,12.1k,14k,14.5k,14.3k,14k,14.1k
Hungary,5410,5320,5180,5030,4470,4850,4520,4130,4020,3770,3590,3660,3960,4210,4160,4340,4400,4240,4000,3530,3070,2920,2720,2510,2250,1810,1690,1540
Indonesia,25.2k,32.5k,33k,31.8k,32.4k,17.7k,16.8k,,97.5k,106k,74.5k,60.8k,98.5k,63k,49.6k,35.5k,24.6k,22.2k,40.5k,69.1k,84.6k,92.8k,155k,174k,210k,255k,278k,275k
India,706k,770k,923k,1.07M,1.11M,1.17M,1.28M,1.4M,1.46M,1.51M,1.52M,1.55M,1.12M,1.08M,1.11M,1.22M,1.29M,1.13M,1.1M,1.22M,1.12M,1.08M,1.06M,1.07M,1.14M,1.16M,1.23M,1.3M
Ireland,1150,1020,975,924,837,804,602,581,534,672,624,640,604,598,544,458,434,416,424,455,386,393,375,354,380,387,416,425
Iran,42.7k,11.7k,9510,8590,10.5k,8730,8030,10k,9970,12k,9260,14.3k,14.1k,20.6k,13k,15.9k,14.2k,12.7k,11.8k,12.1k,11.8k,11.8k,11.5k,10.9k,10.2k,9190,9360,9320
Iraq,11.8k,10.6k,7740,6970,6810,6490,6850,6520,11.4k,14.3k,14.7k,13.5k,14.9k,18.6k,19.7k,9700,29.2k,26.6k,29.4k,29.9k,9700,10.5k,11.9k,11.7k,10.5k,9450,8040,7860
Iceland,25,23,25,24,26,13,13,12,16,18,18,15,16,11,18,12,11,10,17,10,13,12,8,5,11,10,13,12
Israel,249,227,232,222,257,368,239,184,226,160,234,505,345,419,395,398,369,422,656,490,557,546,485,505,497,402,384,392
Italy,3310,3180,3850,4250,3470,4110,4080,3280,3610,4000,4250,3720,4690,4730,5820,5630,4160,4600,5730,4430,3500,4290,3930,4230,3970,3830,4150,2700
Jamaica,176,178,153,157,160,130,88,133,65,86,123,121,111,115,109,109,121,118,121,115,127,121,106,120,116,90,95,104
Jordan,298,646,860,856,672,769,592,537,553,484,439,390,504,427,443,498,468,397,380,373,306,342,312,310,324,367,359,336
Japan,70.9k,65.9k,63.9k,62k,61.5k,58.6k,56.7k,56.5k,54.4k,53.1k,51.8k,50.6k,49k,48.5k,44.4k,43.1k,42.1k,42.2k,44k,40.8k,39.4k,35.5k,32.8k,31.6k,29.7k,27.2k,25.3k,24.8k
Kazakhstan,14.4k,13.9k,13.8k,13.4k,12.6k,12.4k,13.1k,13.3k,13.5k,13.3k,11k,10.8k,10.9k,10.4k,10.5k,11.3k,13.9k,16.1k,20.6k,25k,25.8k,26.2k,27.6k,26.9k,26.5k,25.7k,23.7k,24.8k
Kenya,11.1k,10k,,12k,,10.5k,10k,10.5k,11k,12.6k,11.8k,12.3k,14.6k,20.4k,22.9k,28.1k,35k,39.7k,48.9k,57.3k,64.2k,73k,80.2k,91.5k,101k,103k,108k,106k
Kyrgyz Republic,1970,2090,2050,1980,2020,2090,2120,2090,2160,2130,2310,2520,2580,2430,2730,3390,4090,5190,5710,6380,6210,6650,6610,6170,6100,6330,6170,6100
Cambodia,2580,1980,8160,7570,10.2k,10.1k,10.3k,9110,10.7k,7910,6500,10.9k,16.1k,13.3k,15.2k,14.6k,14.9k,15.6k,16.9k,19.3k,18.9k,19.2k,24.6k,28.2k,30.8k,35.5k,34.7k,35.6k
Kiribati,146,187,193,127,111,103,129,110,208,121,68,91,100,99,253,,327,464,276,255,252,189,196,284,310,332,378,334
St. Kitts and Nevis,7,4,6,2,3,0,0,0,0,0,0,1,4,6,2,5,3,12,5,3,0,2,3,1,2,0,1,4
South Korea,89.8k,98.5k,101k,91.6k,85.7k,87.2k,88.8k,87.4k,74.5k,70k,63.9k,57.9k,48.1k,47k,38.2k,42.1k,39.3k,33.2k,34.7k,32.1k,21.8k,37.3k,35k,33.8k,34.4k,38.3k,37.9k,37.5k
Kuwait,847,819,880,855,812,717,611,540,480,468,277,330,282,217,237,336,400,528,564,515,513,496,585,566,557,517,644,646
Lao,7630,,4710,4700,6530,4260,1510,3470,7280,2950,1830,1950,994,2090,1140,830,1440,1920,2150,2420,2230,2420,2620,2750,3160,3780,3960,3910
Lebanon,,67,75,284,410,1940,2260,2480,,,,884,884,,940,983,836,701,640,679,571,516,437,380,393,391,375,476
Liberia,774,1000,835,885,,425,232,384,894,,,,1950,1770,1760,1390,840,,1750,,1500,1750,3420,2510,4340,3430,4450,
Libya,718,481,512,610,357,325,276,331,416,265,442,239,1160,,,1440,1280,,1580,1620,1340,,1820,1920,1650,2100,2020,2120
St. Lucia,41,39,37,48,55,21,34,25,32,28,13,25,26,,24,11,35,22,20,16,9,15,17,14,15,14,15,19
Sri Lanka,6210,6290,7330,6670,6380,5890,6600,6410,6090,6430,6670,6170,6800,6810,6130,5960,5370,6540,6930,7160,8410,7500,8940,9000,8560,9250,8510,8720
Lesotho,4080,3830,4930,3440,2920,2930,21,225,2350,2460,2530,2990,3330,3380,4330,5180,5600,6450,7810,8550,9750,,10.1k,12k,11.4k,10.8k,12.1k,2320
Lithuania,1640,1600,1500,1480,1420,1450,1410,1370,1340,1380,1470,1560,1600,1900,2140,2360,2610,2930,3020,2800,2660,2600,2410,2590,2040,2110,2370,2240
Luxembourg,71,45,41,41,46,42,45,48,16,45,48,48,25,35,33,32,41,38,44,37,44,31,31,54,31,37,33,39
Latvia,1190,1140,1080,1070,1050,1220,982,948,938,857,906,943,955,994,1130,1540,1760,2000,2180,1890,1980,2000,1800,1690,1580,1410,1290,1230
Morocco,24.9k,28.6k,28.1k,26.9k,22.3k,26.8k,27.6k,27.2k,25.7k,26.8k,27.7k,27.6k,25.4k,27.6k,30.3k,29.8k,31.8k,30.2k,29.1k,29.9k,28.9k,28.3k,29.8k,26.8k,25.9k,26.3k,26.1k,25.6k
Monaco,1,0,0,0,0,1,2,2,1,1,1,0,1,,1,1,0,0,0,3,0,0,0,,,,,
